arm,tstart,steps,nfe,depth,n,cfg_tar,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem,mulan_dir,mulan_dir_sem
DDPM-inv,64,86,300,74,115,10.5,stableaudio_ddpm_nolora_genhparam_nfe300_t64_s86_cfgtar10.5,4.273275708132896,0.0861156308314215,0.3137177721246321,0.00885267038361541,0.24028661990052333,0.012457260392618203,0.1825224179531569,0.013893026921206994,0.18746814328529265,0.016338016918321062
DDPM-inv,75,75,300,100,115,10.5,stableaudio_ddpm_nolora_genhparam_nfe300_t75_s75_cfgtar10.5,4.3076942200505215,0.08575308347389626,0.3095413398488923,0.008831328663723966,0.23921077316221984,0.012477965755851823,0.18133305955840193,0.014604026007503008,0.19233344671842845,0.01620454014384017
DDPM-inv,30,120,300,25,115,14.0,stableaudio_ddpm_nolora_genhparam_nfe300_t30_s120_cfgtar14.0,1.8718553116528887,0.032236540102789396,0.22558906822424868,0.010941836574737327,0.14812825415485903,0.011885915565967168,0.05855469781419505,0.012578350635789272,0.1040136313146871,0.01656583950544005
DDPM-inv,50,100,300,50,115,14.0,stableaudio_ddpm_nolora_genhparam_nfe300_t50_s100_cfgtar14.0,3.9550885988577553,0.07808974425976842,0.32080309247894995,0.009811819463446123,0.24869368048789708,0.012802558073492974,0.1762762785119855,0.014634790564663668,0.19635105255748267,0.016623707184333814
DDPM-inv,64,86,300,74,115,14.0,stableaudio_ddpm_nolora_genhparam_nfe300_t64_s86_cfgtar14.0,4.541703279424405,0.08077761621939344,0.3267349931314264,0.008466248671106721,0.25866833272511547,0.01285811524833253,0.19186353448616422,0.014596095253987097,0.20239928361109416,0.016550689608662277
DDPM-inv,75,75,300,100,115,14.0,stableaudio_ddpm_nolora_genhparam_nfe300_t75_s75_cfgtar14.0,4.573495286409405,0.08139269446477043,0.3255112215099127,0.008347700642901345,0.2546398220988719,0.011949456881988745,0.1907287866929951,0.01409188998654293,0.20428994236432987,0.016057870887010543
ODEInv (no LoRA),99,396,300,25,115,3.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s396_cfgtar3.5,1.4013346988049107,0.02282679132571764,0.1991626891756997,0.010644397577442838,0.12069569956511257,0.011651509419112955,0.035428961204445865,0.010712531950740354,0.03739001035852276,0.014172221891594007
ODEInv (no LoRA),99,198,300,50,115,3.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s198_cfgtar3.5,3.5457079928595086,0.07496645514178583,0.28134694179830444,0.009639336793114215,0.20691236399681023,0.01227238170060149,0.16804615647896476,0.013710809957756285,0.13497502537363248,0.018348140008201515
ODEInv (no LoRA),99,132,300,75,115,3.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s132_cfgtar3.5,4.762903104545415,0.08135598304635927,0.302078108428505,0.00924141960327829,0.2516508529165193,0.013049586293155509,0.19426296747735014,0.013867239120554114,0.16695437131692534,0.01796175424667526
ODEInv (no LoRA),99,100,300,99,115,3.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s100_cfgtar3.5,4.892082811248476,0.08163023879398883,0.29649805993678563,0.009222032426702808,0.25102448499073154,0.013093599641471226,0.19030243082214957,0.01374822191694397,0.17250276595030142,0.01764324975450018
ODEInv (no LoRA),99,396,300,25,115,7.0,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s396_cfgtar7.0,1.5862177743514376,0.026915852043845265,0.21207445081998255,0.010722142906164304,0.1324235626577359,0.011919219497608102,0.04844454018318133,0.011057601600104754,0.06027864382156859,0.015026258015262941
ODEInv (no LoRA),99,198,300,50,115,7.0,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s198_cfgtar7.0,4.2288005718977555,0.06817033675160038,0.30762282368335603,0.009393203536427282,0.24995021184339472,0.012872259877647426,0.1810596588999033,0.013865697446261743,0.1515226457025046,0.01729301511150602
ODEInv (no LoRA),99,132,300,75,115,7.0,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s132_cfgtar7.0,5.148966118252796,0.07223095774025486,0.3213652944227383,0.008342000666063285,0.29242696993700834,0.013387341340849675,0.20431788206991294,0.013707680492909765,0.184182116219207,0.017845528952894592
ODEInv (no LoRA),99,100,300,99,115,7.0,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s100_cfgtar7.0,5.22696176086647,0.07303711127391281,0.3153716460699081,0.00908874118067834,0.29143486063036583,0.012629677210805322,0.2027744363102576,0.013901873000665333,0.1878634579884617,0.017506753109820583
ODEInv (no LoRA),99,396,300,25,115,10.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s396_cfgtar10.5,1.7887117946536646,0.03295302693127267,0.22218072913776052,0.010626450020879976,0.14264212265286758,0.012086615543503668,0.06215089340896709,0.01162418810904117,0.07563547762920673,0.015705251289246883
ODEInv (no LoRA),99,198,300,50,115,10.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s198_cfgtar10.5,4.5824002937735,0.06341244237008853,0.31896417918547554,0.009162174823544507,0.2798426561118306,0.014082633151105884,0.18655027449131012,0.013738145695192938,0.17233718751484287,0.01796655638303296
ODEInv (no LoRA),99,132,300,75,115,10.5,stableaudio_odeinv_nolora_genhparam_nfe300_t99_s132_cfgtar10.5,5.348632110365922,0.06679135202778552,0.32590914812600374,0.008720773571395132,0.3060891690623501,0.013366156271587272,0.20293174875981135,0.014466205283191452,0.19474041392297847,0.017792328567765622
